t,alcohol,bluelight,intensity,peak_count,sleepquality,sports,stress,work
2017-03-13,0,2,985.7708333333334,4.6155325491201635,1,1,1,0
2017-03-14,0,1,388.1041666666667,3.6571428571428566,2,1,0,6
2017-03-15,0,2,239.29861111111111,3.2432432432432434,2,1,1,7
2017-03-16,0,2,940.4097222222222,3.283018867924528,1,1,1,8
2017-03-17,0,2,1052.486111111111,4.451612903225806,3,1,0,8
2017-03-18,0,2,211.93055555555554,3.6614306701322183,2,1,1,4
2017-03-19,1,2,434.7916666666667,1.67427701674277,3,1,0,3
2017-03-20,0,1,442.1875,3.864406779661017,2,1,0,1
2017-03-21,0,2,1091.2222222222222,3.1765743978561387,1,1,1,7
2017-03-22,0,2,249.81944444444446,2.1802636266476663,1,1,0,0
2017-03-23,1,2,540.4305555555555,3.1092413562533086,3,1,0,5
2017-03-24,2,1,1103.1527777777778,2.100350058343057,0,1,0,1
2017-03-25,3,0,1036.2291666666667,2.6037735849056602,1,1,0,1
2017-03-26,0,2,531.5,2.933333333333333,2,1,0,0
2017-03-27,1,2,782.5289855072464,3.0329670329670333,2,1,0,2
2017-03-28,0,2,1154.5277777777778,2.640352046939592,1,1,1,7
2017-03-29,0,2,1186.4791666666667,1.764705882352941,2,1,1,7
2017-03-04,0,1,230.34722222222223,2.8604346271502923,3,1,1,4
2017-03-06,0,1,892.3888888888889,1.208729714605484,2,1,1,2
2017-03-07,1,2,953.0694444444445,3.0914555603263203,3,1,1,2
2017-03-08,0,3,197.16666666666666,1.8985339099251135,3,1,1,5
2017-03-09,0,3,411.006993006993,2.5822905873914084,2,1,1,6
2017-03-15,0,3,239.29861111111111,4.267615025561236,3,1,0,1
2017-03-16,0,3,940.4097222222222,3.36033603360336,3,1,0,2
2017-03-17,0,3,1052.486111111111,4.092109122909944,2,1,0,0
2017-03-18,0,3,211.93055555555554,3.184431667403804,2,1,1,0
2017-03-19,0,3,434.7916666666667,2.284519765575423,3,0,0,0
2017-03-20,0,3,442.1875,1.7543859649122806,3,0,0,0
2017-03-21,1,2,1091.2222222222222,2.014056435539704,2,1,0,4
2017-03-22,0,3,249.81944444444446,0.9474930911962101,3,1,0,6
2017-03-23,0,3,540.4305555555555,2.1712907117008444,3,1,1,5
2017-03-24,0,3,1103.1527777777778,2.307988203615848,3,1,0,0
2017-03-25,2,1,1036.2291666666667,1.1816451125845202,1,1,0,0
2017-03-26,3,1,531.5,2.9277813923227063,2,1,0,0
2017-03-27,0,3,782.5289855072464,1.765704584040747,3,1,0,0
2017-03-28,0,3,1154.5277777777778,1.8752663730643557,2,1,0,2
2017-03-29,0,3,1186.4791666666667,2.2868605817452354,1,1,0,4
2017-03-30,0,3,1168.2222222222222,2.132701421800948,2,1,1,5
2017-03-31,0,3,1312.9930555555557,1.4458411984417043,3,1,1,0
2017-04-01,0,3,877.4166666666666,1.4077897700610043,3,1,0,0
2017-03-04,0,3,230.34722222222223,1.3333333333333333,1,1,1,4
