time,onoff
1485935162,0
1485925458,1
1485930425,0
1485935330,1
1485933304,0
1485933305,1
1485933308,0
1485926928,0
1485926872,1
1485934949,0
1485935447,1
1485925469,0
1485930004,1
1485929945,0
1485929948,1
1485937654,1
1485926915,0
1485926918,1
1485930244,0
1485927723,1
1485937402,0
1485930351,1
1485928049,0
1485929841,1
1485929811,1
1485929814,0
1485937862,0
1485936285,1
1485935150,1
1485928279,1
1485939891,0
1485934672,1
1485929858,0
1485936439,0
1485936439,1
1485928282,0
1485929960,0
1485940175,0
1485940034,1
1485925428,0
1485925431,1
1485929891,1
1485935345,0
1485935475,0
1485939145,0
1485939807,1
1485934235,1
1485937385,1
1485936455,0
1485925444,0
1485934339,0
1485935461,0
1485935462,1
1485939017,1
1485933303,1
1486064959,1
1485951578,0
1485950813,0
1486065575,0
1485950785,1
1485950942,1
1485951507,1
1485945093,1
1485950557,1
1485952435,1
1485951588,1
1485950491,0
1485954377,1
1485947065,0
1485951012,1
1485945512,1
1485950437,1
1485948705,1
1485952451,0
1485951598,0
1485950134,1
1485950568,0
1485952579,1
1486065572,1
1485947079,1
1486065588,1
1485947283,0
1485945102,0
1485951637,0
1485947408,0
1485945428,1
1485950981,0
1485945446,0
1485948789,0
1486064498,1
1485947359,0
1486065029,0
1485951632,1
1485951445,0
1485951094,0
1485947323,1
1485950171,0
1485951562,1
1485952603,0
1485951550,0
1485950845,1
1486065599,0
1485947397,1
1486064496,1
1486064497,0
1485950859,0
1486064542,0
1485947048,1
1485945518,0
1486067664,0
1486067668,1
1486067670,0
1485951125,1
1486066925,1
1486069545,1
1486069551,0
1486094402,1
1486094421,0
1486096208,1
1486096218,0
1486097087,1
1486097497,0
1486136715,1
1486136750,0
1486136756,1
1486136771,0
1486135602,0
1486135602,1
1486135605,0
1486111459,1
1486111491,0
1486110674,1
1486110686,0
1486107050,1
1486107068,0
1486116578,1
1486116601,0
1486117715,1
1486117729,0
1486117838,1
1486117888,0
1486123222,1
1486123225,0
1486123231,1
1486123241,0
1486123255,1
1486123289,0
1486132451,1
1486132457,0
1486140083,1
1486140127,0
1486102133,1
1486102135,0
1486134403,1
1486134420,0
1486134525,1
1486134528,0
1486129792,1
1486129795,0
1486125858,0
1486124774,1
1486124832,0
1486106757,1
1486106759,0
1486112484,1
1486112511,0
1486112519,1
1486112576,0
1486143825,1
1486129234,1
1486129237,0
1486122233,1
1486122255,0
1486108347,1
1486108356,0
1486108358,1
1486108376,0
1486128964,1
1486126025,1
1486126028,0
1486136183,1
1486120129,1
1486120150,0
1486139703,1
1486139725,0
1486106567,1
1486106601,0
1486135430,1
1486135446,0
1486135447,1
1486135468,0
1486135495,1
1486126905,1
1486126932,0
1486118802,1
1486118805,0
1486118810,1
1486118838,0
1486118915,1
1486118984,0
1486119020,1
1486119031,0
1486126528,1
1486126534,0
1486126578,1
1486126581,0
1486111555,1
1486111565,0
1486129097,0
1486110360,1
1486110398,0
1486141381,1
1486141396,0
1486107422,1
1486107437,0
1486103092,1
1486103094,0
1486103097,1
1486103102,0
1486103143,1
1486103148,0
1486125768,1
1486133045,1
1486133050,0
1486100130,1
1486100132,0
1486140797,1
1486140818,0
1486113375,1
1486113384,0
1486119513,1
1486119537,0
1486112665,1
1486112725,0
1486123443,1
1486123458,0
1486136321,0
1486136341,1
1486136346,0
1486143828,0
1486144048,1
1486144052,0
1486144266,1
1486144286,0
1486146431,1
1486146288,1
1486146293,0
1486146649,0
1486146725,1
1486146989,0
1486146832,0
1486146893,1
1486147098,1
1486147123,0
1486147826,1
1486147687,1
1486147744,0
1486147979,0
1486148168,1
1486148189,0
1486148548,0
1486148313,1
1486149798,1
1486149804,0
1486151829,1
1486152004,0
1486152025,1
1486152035,0
1486152260,1
1486152413,0
1486152469,1
1486152690,0
1486152910,1
1486152918,0
1486152919,1
1486152936,0
1486153150,1
1486153223,0
1486153766,1
1486153632,1
1486153642,0
1486153933,0
1486153935,1
1486153860,1
1486153777,0
1486153780,1
1486153791,0
1486154088,0
1486154111,1
1486154119,0
1486154456,1
1486154459,0
1486166989,1
1486167011,0
1486166876,1
1486166917,0
1486160957,0
1486160671,1
1486160710,0
1486160711,1
1486160742,0
1486160800,1
1486163765,1
1486163773,0
1486168017,1
1486168026,0
1486161181,1
1486161219,0
1486163289,1
1486163308,0
1486163315,1
1486163319,0
1486156864,1
1486156933,0
1486162276,1
1486162279,0
1486159835,1
1486159843,0
1486158567,1
1486158588,0
1486155316,1
1486155379,0
1486155550,1
1486155625,0
1486164879,1
1486164909,0
1486160535,1
1486160573,0
1486165729,1
1486165730,0
1486160180,1
1486160204,0
1486160268,1
1486160302,0
1486161036,1
1486161049,0
1486217037,1
1486217052,0
1486217064,1
1486217068,0
1486220581,1
1486220585,0
1486221630,1
1486221654,0
1486221660,1
1486221671,0
1486224085,1
1486224105,0
1486230959,1
1486230980,0
1486234155,1
1486234233,0
1486235487,1
1486235875,0
1486235876,1
1486235888,0
1486237855,1
1486237859,0
1486241705,1
1486241716,0
1486242015,1
1486242033,0
1486243247,1
1486243249,0
1486246559,1
1486246567,0
1486249389,1
1486249406,0
1486249545,1
1486249898,0
1486249898,1
1486249914,0
1486280876,1
1486281099,0
1486287464,1
1486287471,0
1486287475,1
1486287486,0
1486290336,1
1486290346,0
1486290967,1
1486290978,0
1486292575,1
1486292590,0
1486292686,1
1486292747,0
1486293426,1
1486293474,0
1486300345,0
1486300347,1
1486300348,0
1486294358,1
1486294411,0
1486300200,1
1486303119,0
1486303121,1
1486303136,0
1486294501,1
1486294504,0
1486294558,1
1486303042,1
1486294671,0
1486295073,1
1486298231,1
1486298388,0
1486298391,1
1486298405,0
1486293512,1
1486293524,0
1486304153,1
1486299714,1
1486299746,0
1486301972,1
1486301999,0
1486295180,0
1486295192,1
1486295371,0
1486295373,1
1486295431,0
1486304160,0
1486304162,1
1486304170,0
1486308097,1
1486308179,0
1486311294,1
1486311305,0
1486313664,1
1486313675,0
1486314829,1
1486314840,0
1486318375,0
1486318219,1
1486320397,1
1486320409,0
1486325113,1
1486325123,0
1486328053,1
1486328056,0
1486328058,1
1486328071,0
1486328761,1
1486328487,1
1486328589,0
1486328814,0
1486328819,1
1486328823,0
1486355402,1
1486355408,0
1486355410,1
1486355427,0
1486357802,1
1486357813,0
1486357817,1
1486357820,0
1486357822,1
1486357825,0
1486358695,1
1486358703,0
1486376292,1
1486387003,1
1486387010,0
1486385233,1
1486385238,0
1486385271,1
1486385283,0
1486385315,1
1486385317,0
1486385399,1
1486385478,0
