time,touch_count,last_touch_delay
1487144722,3,6090
1487144722,0,6156
1487144739,0,22998
1487144754,0,38056
1487144770,0,54086
1487144785,0,69134
1487144802,0,86052
1487144818,0,102022
1487144835,0,119075
1487144842,0,125531
1487144842,0,125554
1487144852,0,136054
1487144868,0,151994
1487144883,0,167013
1487144900,0,184030
1487144916,0,200055
1487144932,0,216065
1487144947,0,231109
1487144963,0,247082
1487144979,0,263001
1487144995,0,279002
1487145010,0,294033
1487145026,0,310047
1487145041,0,325091
1487145057,0,341038
1487145072,0,356080
1487145087,0,371124
1487145102,0,386176
1487145118,0,401217
1487145133,0,416244
1487146540,25,4032
1487146555,0,19054
1487146570,1,12613
1487146585,13,108
1487146600,14,1033
1487146609,4,296
1487146609,0,297
1487146612,1,1310
1487146615,0,3737
1487146630,0,18759
1487146646,4,13632
1487146662,0,29601
1487146677,1,334
1487146679,0,1799
1487146679,0,1831
1487146692,3,8193
1487146708,1,6350
1487146723,0,21406
1487146738,0,36456
1487146753,0,51478
1487146768,4,3488
1487146783,6,2590
1487146798,3,6308
1487146813,2,1359
1487146828,2,1399
1487146843,0,16447
1487146858,0,31469
1487146873,5,2866
1487146888,1,9347
1487146903,3,432
1487146918,29,96
1487146933,56,680
1487146948,11,3531
1487146963,26,8364
1487146978,5,11777
1487146980,0,13271
1487146980,0,13336
1487146993,1,4172
1487147008,8,2009
1487147023,0,17034
1487147040,0,34169
1487147057,0,51201
1487147072,0,66225
1487147088,0,82188
1487147103,1,861
1487147118,7,1383
1487147133,4,6193
1487147149,0,21447
1487147164,0,37105
1487147180,0,53111
1487147196,0,69138
1487147212,0,85142
1487147227,0,100177
1487147242,0,115206
1487147264,0,137269
1487147281,0,154165
1487147283,0,156096
1487147283,0,156139
1487147296,0,169189
1487147313,0,186185
1487147329,0,202131
1487147345,0,218118
1487147361,0,233323
1487147377,0,249932
1487147392,0,264957
1487147408,0,280863
1487147425,0,297891
1487147440,0,312918
1487147456,0,328884
1487147521,0,393930
1487147537,0,409868
1487147553,0,425882
1487147569,0,441869
1487147585,0,457881
1487147601,0,473897
1487147601,0,473922
1487147601,0,473952
1487147617,0,489885
1487147632,0,504922
1487147647,0,519952
1487147662,0,534996
1487147678,0,550916
1487147694,0,566898
1487147709,0,581932
1487147724,0,596957
1487147739,0,611992
1487147754,0,627014
1487147769,0,642038
1487147785,0,657957
1487147801,0,673950
